# from http://www.legislation.gov.uk/uksi/2014/270/schedule/made,,,,,
District,District GSS Code,Electoral area,Electoral area GSS code,Ward,Ward GSS code
,,Crotlieve,N10001001,Burren,N08001009
,,,,Derryleckagh,N08001017
,,,,Hilltown,N08001024
,,,,Mayobridge,N08001030
,,,,Rostrevor,N08001035
,,,,Warrenpoint,N08001040
,,The Mournes,N10001007,Annalong,N08001002
,,,,Binnian,N08001008
,,,,Donard,N08001018
,,,,Kilkeel,N08001025
,,,,Lisnacree,N08001029
,,,,Murlough,N08001032
,,,,Tollymore,N08001039
,,Slieve Croob,N10001005,Ballydugan,N08001004
,,,,Ballyward,N08001006
,,,,Castlewellan,N08001011
,,,,Drumaness,N08001020
,,,,Dundrum,N08001021
,,Downpatrick,N10001002,Cathedral,N08001012
,,,,Knocknashinna,N08001027
,,,,Lecale,N08001028
,,,,Quoile,N08001034
,,,,Strangford,N08001038
,,Rowallane,N10001004,Ballynahinch,N08001005
,,,,Crossgar and Killyleagh,N08001013
,,,,Derryboy,N08001016
,,,,Kilmore,N08001026
,,,,Saintfield,N08001036
North Down and Ards,N09000011,Ards Peninsula,N10001101,Ballywalter,N08001106
,,,,Carrowdore,N08001110
,,,,Kircubbin,N08001128
,,,,Loughries,N08001129
,,,,Portaferry,N08001132
,,,,Portavogie,N08001133
,,Comber,N10001105,Ballygowan,N08001102
,,,,Comber North,N08001113
,,,,Comber South,N08001114
,,,,Comber West,N08001115
,,,,Killinchy,N08001127
,,Newtownards,N10001107,Conway Square,N08001116
,,,,Cronstown,N08001117
,,,,Glen,N08001120
,,,,Gregstown,N08001121
,,,,Movilla,N08001131
,,,,Scrabo,N08001136
,,,,West Winds,N08001140
,,Bangor East and Donaghadee,N10001103,Ballycrochan,N08001101
,,,,Ballymagee,N08001105
,,,,Donaghadee,N08001119
,,,,Groomsport,N08001122
,,,,Silverbirch,N08001137
,,,,Warren,N08001139
,,Bangor Central,N10001102,Ballygrainey,N08001103
,,,,Ballyholme,N08001104
,,,,Bloomfield,N08001107
,,,,Broadway,N08001108
,,,,Castle,N08001111
,,,,Harbour,N08001123
,,Bangor West,N10001104,Bryansburn,N08001109
,,,,Kilcooley,N08001126
,,,,Rathgael,N08001134
,,,,Rathmore,N08001135
,,,,Silverstream,N08001138
,,Holywood and Clandeboye,N10001106,Clandeboye,N08001112
,,,,Cultra,N08001118
,,,,Helen’s Bay,N08001124
,,,,Holywood,N08001125
,,,,Loughview,N08001130
